Stage,ID,Task,Owner,Effort (p-days),Predecessors,Week,Workstream,Notes
S3,W2.2,Wave 2 T-10 / T-3 / T-1 comms,Change Mgr,1.0,W2.1,W7,WS8,
S3,W2.3,Wave 2 dry-run migration into sandbox,Migration Pod,1.0,W2.1,W7,WS4,
S3,W2.4,Wave 2 dry-run validation,Migration Pod,0.5,W2.3,W7,WS4,
S3,W2.5,Wave 2 Go/No-Go meeting,Steering,0.5,W2.4,W7,WS1,
S3,W2.6,Freeze wave 2 ADO repos,ADO Admin,0.5,W2.5,W7,WS9,
S3,W2.7,Execute wave 2 migration (25 repos parallel),Migration Pod,1.0,W2.6,W7,WS4,
S3,W2.8,Apply rulesets + CODEOWNERS for wave 2,InfoSec + Platform,0.5,W2.7,W7,WS7,
S3,W2.9,Verify Boards integration on wave 2 repos,DevEx,0.5,W2.7,W7,WS5,
S3,W2.10,Re-point pipelines for wave 2 (~25-50 pipelines),DevEx,3.0,W2.7,W7,WS6,
S3,W2.11,Validate builds for wave 2,DevEx + Owners,1.0,W2.10,W7,WS6,
S3,W2.12,Mannequin reclamation wave 2,Platform,1.0,W2.7,W7,WS4,
S3,W2.13,Repo owner smoke tests & sign-off wave 2,Repo Owners,1.0,"W2.7, .8",W7,WS4,
S3,W2.14,Hypercare wave 2 D+1 -> D+3,Wave Lead + Pods,2.0,W2.7,W7,WS10,
S3,W2.15,Archive wave 2 ADO repos (D+7),ADO Admin,0.5,W2.14,W7,WS9,
S3,W2.16,Wave 2 closure report,Wave Lead,0.5,W2.14,W7,WS1,
S3,W3.1,"Wave 3 manifest confirmed (repos, owners, pipelines)",Wave Lead,0.5,M3 / prev wave hypercare exit,W8,WS1,
S3,W3.2,Wave 3 T-10 / T-3 / T-1 comms,Change Mgr,1.0,W3.1,W8,WS8,
S3,W3.3,Wave 3 dry-run migration into sandbox,Migration Pod,1.0,W3.1,W8,WS4,
S3,W3.4,Wave 3 dry-run validation,Migration Pod,0.5,W3.3,W8,WS4,
S3,W3.5,Wave 3 Go/No-Go meeting,Steering,0.5,W3.4,W8,WS1,
S3,W3.6,Freeze wave 3 ADO repos,ADO Admin,0.5,W3.5,W8,WS9,
S3,W3.7,Execute wave 3 migration (25 repos parallel),Migration Pod,1.0,W3.6,W8,WS4,
S3,W3.8,Apply rulesets + CODEOWNERS for wave 3,InfoSec + Platform,0.5,W3.7,W8,WS7,
S3,W3.9,Verify Boards integration on wave 3 repos,DevEx,0.5,W3.7,W8,WS5,
S3,W3.10,Re-point pipelines for wave 3 (~25-50 pipelines),DevEx,3.0,W3.7,W8,WS6,
S3,W3.11,Validate builds for wave 3,DevEx + Owners,1.0,W3.10,W8,WS6,
S3,W3.12,Mannequin reclamation wave 3,Platform,1.0,W3.7,W8,WS4,
S3,W3.13,Repo owner smoke tests & sign-off wave 3,Repo Owners,1.0,"W3.7, .8",W8,WS4,
S3,W3.14,Hypercare wave 3 D+1 -> D+3,Wave Lead + Pods,2.0,W3.7,W8,WS10,
S3,W3.15,Archive wave 3 ADO repos (D+7),ADO Admin,0.5,W3.14,W8,WS9,
S3,W3.16,Wave 3 closure report,Wave Lead,0.5,W3.14,W8,WS1,
S3,W4.1,"Wave 4 manifest confirmed (repos, owners, pipelines)",Wave Lead,0.5,M3 / prev wave hypercare exit,W9,WS1,
S3,W4.2,Wave 4 T-10 / T-3 / T-1 comms,Change Mgr,1.0,W4.1,W9,WS8,
S3,W4.3,Wave 4 dry-run migration into sandbox,Migration Pod,1.0,W4.1,W9,WS4,
S3,W4.4,Wave 4 dry-run validation,Migration Pod,0.5,W4.3,W9,WS4,
S3,W4.5,Wave 4 Go/No-Go meeting,Steering,0.5,W4.4,W9,WS1,
S3,W4.6,Freeze wave 4 ADO repos,ADO Admin,0.5,W4.5,W9,WS9,
S3,W4.7,Execute wave 4 migration (25 repos parallel),Migration Pod,1.0,W4.6,W9,WS4,
S3,W4.8,Apply rulesets + CODEOWNERS for wave 4,InfoSec + Platform,0.5,W4.7,W9,WS7,
S3,W4.9,Verify Boards integration on wave 4 repos,DevEx,0.5,W4.7,W9,WS5,
S3,W4.10,Re-point pipelines for wave 4 (~25-50 pipelines),DevEx,3.0,W4.7,W9,WS6,
S3,W4.11,Validate builds for wave 4,DevEx + Owners,1.0,W4.10,W9,WS6,
S3,W4.12,Mannequin reclamation wave 4,Platform,1.0,W4.7,W9,WS4,
S3,W4.13,Repo owner smoke tests & sign-off wave 4,Repo Owners,1.0,"W4.7, .8",W9,WS4,
S3,W4.14,Hypercare wave 4 D+1 -> D+3,Wave Lead + Pods,2.0,W4.7,W9,WS10,
S3,W4.15,Archive wave 4 ADO repos (D+7),ADO Admin,0.5,W4.14,W9,WS9,
S3,W4.16,Wave 4 closure report,Wave Lead,0.5,W4.14,W9,WS1,
S4,4.1,Final mannequin reclamation sweep across all waves,Platform,1.0,All Wn.12,W10,WS4,
S4,4.2,Boards linking audit (sample of >=20 repos),DevEx,1.0,All Wn.9,W10,WS5,
S4,4.3,Pipeline pass-rate audit,DevEx,1.0,All Wn.11,W10,WS6,
S4,4.4,Security baseline audit,InfoSec,1.0,All Wn.8,W10,WS7,
S4,4.5,All ADO repos confirmed archived; write perms revoked,ADO Admin,1.0,All Wn.15,W10,WS9,
S4,4.6,CMDB / asset inventory updated to GHE URLs,IT Ops,1.0,4.5,W10,WS9,
S4,4.7,Phase 1 closure report,PM,2.0,4.1-4.6,W10,WS1,
S4,4.8,Lessons learned session & publish,Change Mgr,1.0,4.7,W10,WS8,
S4,4.9,Phase 2 mandate pack (Actions migration),PM + TL,2.0,4.7,W10,WS1,
S4,4.10,M5 gate: Phase 1 closed,Sponsor + Steering,0.5,"4.7, 4.9",W10,WS1,GATE M5.
